2020-10-27 12:21:54 [                          main] ClassPathXmlApplicationContext DEBUG Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@79da8dc5
2020-10-27 12:21:54 [                          main] XmlBeanDefinitionReader        DEBUG Loaded 3 bean definitions from class path resource [spring-camel-config.xml]
2020-10-27 12:21:54 [                          main] DefaultListableBeanFactory     DEBUG Creating shared instance of singleton bean 'jmsConnectionFactory'
2020-10-27 12:21:54 [                          main] DefaultListableBeanFactory     DEBUG Creating shared instance of singleton bean 'pooledConnectionFactory'
2020-10-27 12:21:54 [                          main] PooledConnectionFactory        DEBUG Staring the PooledConnectionFactory: create on start = true
2020-10-27 12:21:54 [                          main] WireFormatNegotiator           DEBUG Sending: WireFormatInfo { version=12, properties={StackTraceEnabled=true, PlatformDetails=Java, CacheEnabled=true, Host=0.0.0.0, TcpNoDelayEnabled=true, SizePrefixDisabled=false, CacheSize=1024, ProviderName=ActiveMQ, TightEncodingEnabled=true, MaxFrameSize=9223372036854775807, MaxInactivityDuration=30000, MaxInactivityDurationInitalDelay=10000, ProviderVersion=5.15.12}, magic=[A,c,t,i,v,e,M,Q]}
2020-10-27 12:21:54 [ort: tcp:///0.0.0.0:61616@1528] InactivityMonitor              DEBUG Using min of local: WireFormatInfo { version=12, properties={StackTraceEnabled=true, PlatformDetails=Java, CacheEnabled=true, Host=0.0.0.0, TcpNoDelayEnabled=true, SizePrefixDisabled=false, CacheSize=1024, ProviderName=ActiveMQ, TightEncodingEnabled=true, MaxFrameSize=9223372036854775807, MaxInactivityDuration=30000, MaxInactivityDurationInitalDelay=10000, ProviderVersion=5.15.12}, magic=[A,c,t,i,v,e,M,Q]} and remote: WireFormatInfo { version=12, properties={TcpNoDelayEnabled=true, SizePrefixDisabled=false, CacheSize=1024, ProviderName=ActiveMQ, StackTraceEnabled=true, PlatformDetails=Java, CacheEnabled=true, TightEncodingEnabled=true, MaxFrameSize=504857600, MaxInactivityDuration=30000, MaxInactivityDurationInitalDelay=10000, ProviderVersion=5.16.0}, magic=[A,c,t,i,v,e,M,Q]}
2020-10-27 12:21:54 [ort: tcp:///0.0.0.0:61616@1528] WireFormatNegotiator           DEBUG Received WireFormat: WireFormatInfo { version=12, properties={TcpNoDelayEnabled=true, SizePrefixDisabled=false, CacheSize=1024, ProviderName=ActiveMQ, StackTraceEnabled=true, PlatformDetails=Java, CacheEnabled=true, TightEncodingEnabled=true, MaxFrameSize=504857600, MaxInactivityDuration=30000, MaxInactivityDurationInitalDelay=10000, ProviderVersion=5.16.0}, magic=[A,c,t,i,v,e,M,Q]}
2020-10-27 12:21:54 [ort: tcp:///0.0.0.0:61616@1528] WireFormatNegotiator           DEBUG tcp:///0.0.0.0:61616@1528 before negotiation: OpenWireFormat{version=12, cacheEnabled=false, stackTraceEnabled=false, tightEncodingEnabled=false, sizePrefixDisabled=false, maxFrameSize=9223372036854775807}
2020-10-27 12:21:54 [ort: tcp:///0.0.0.0:61616@1528] WireFormatNegotiator           DEBUG tcp:///0.0.0.0:61616@1528 after negotiation: OpenWireFormat{version=12, cacheEnabled=true, stackTraceEnabled=true, tightEncodingEnabled=true, sizePrefixDisabled=false, maxFrameSize=504857600}
2020-10-27 12:21:54 [                          main] DefaultListableBeanFactory     DEBUG Creating shared instance of singleton bean 'jmsTemplate'
2020-10-27 12:21:55 [el Thread #0 - LRUCacheFactory] CaffeineLRUCacheFactory        DEBUG Warming up LRUCache ...
2020-10-27 12:21:55 [el Thread #0 - LRUCacheFactory] CaffeineLRUCacheFactory        DEBUG Warming up LRUCache complete in 58 millis
2020-10-27 12:21:55 [                          main] SpringCamelContext             DEBUG Set the application context classloader to: sun.misc.Launcher$AppClassLoader@55f96302
2020-10-27 12:21:55 [                          main] SpringCamelContext             DEBUG Setting up management with factory: org.apache.camel.impl.engine.DefaultManagementStrategyFactory@46944ca9
2020-10-27 12:21:55 [                          main] SpringCamelContext             DEBUG Adding routes from builder: Routes: []
2020-10-27 12:21:55 [                          main] SpringCamelContext             DEBUG Adding routes from builder: Routes: []
2020-10-27 12:21:55 [                          main] SpringCamelContext             INFO  Apache Camel 3.0.0 (CamelContext: camel-1) is starting
